quarter,language,push_events,unique_actors
2013-10-01,JavaScript,117639.04386244313,0
2013-10-01,Julia,312.8745147793565,0
2013-10-01,Kotlin,1187.9255486462785,0
2013-10-01,Lua,1134.917307880231,0
2013-10-01,Objective-C,9782.8692482328916,0
2013-10-01,PHP,64114.718894384168,0
2013-10-01,Perl,5209.2451984767486,0
2013-10-01,Python,94061.4347714817,0
2013-10-01,R,830.20270775631741,0
2013-10-01,Ruby,61277.571692911937,0
2013-10-01,Rust,286.32258926515033,0
2013-10-01,Scala,6657.149929424374,0
2013-10-01,Swift,1079.405237959513,0
2013-10-01,TypeScript,3276.3763451180748,0
2014-01-01,C,39482.574808059064,0
2014-01-01,C#,14929.853096686569,0
2014-01-01,C++,46528.378245306754,0
2014-01-01,Dart,846.087117922056,0
2014-01-01,Go,10361.252003721265,0
2014-01-01,Haskell,2936.6929907885233,0
2014-01-01,Java,120193.13670086474,0
2014-01-01,JavaScript,157656.67662774608,0
2014-01-01,Julia,363.95172743563609,0
2014-01-01,Kotlin,2361.4792182937,0
2014-01-01,Lua,1907.2039290444166,0
2014-01-01,Objective-C,11937.841804226011,0
2014-01-01,PHP,85012.420808304858,0
2014-01-01,Perl,7396.48960331068,0
2014-01-01,Python,122375.55271117619,0
2014-01-01,R,1687.7918336483192,0
2014-01-01,Ruby,73691.0472914403,0
2014-01-01,Rust,493.2190464222968,0
2014-01-01,Scala,9037.0819297126382,0
2014-01-01,Swift,778.22605157657188,0
2014-01-01,TypeScript,5168.1559667705451,0
2014-04-01,C,41635.059511676292,0
2014-04-01,C#,19361.83374625941,0
2014-04-01,C++,53644.74770556327,0
2014-04-01,Dart,923.61114439845289,0
2014-04-01,Go,15784.621003203298,0
2014-04-01,Haskell,5363.2365753403783,0
2014-04-01,Java,132946.80736460857,0
2014-04-01,JavaScript,188770.95287766311,0
2014-04-01,Julia,254.80197861678124,0
2014-04-01,Kotlin,2915.5120103496315,0
2014-04-01,Lua,3563.8336088641081,0
2014-04-01,Objective-C,12952.681672765879,0
2014-04-01,PHP,95667.635760315636,0
2014-04-01,Perl,8012.3120122526843,0
2014-04-01,Python,135683.765091061,0
2014-04-01,R,2511.4691454556328,0
2014-04-01,Ruby,82407.511532036428,0
2014-04-01,Rust,1384.2389345760159,0
2014-04-01,Scala,11348.033263268057,0
2014-04-01,Swift,1109.3385939110383,0
2014-04-01,TypeScript,6761.6164232269493,0
2014-07-01,C,46659.704925456026,0
2014-07-01,C#,23097.046740242902,0
2014-07-01,C++,60861.17544957174,0
2014-07-01,Dart,1417.407938280704,0
2014-07-01,Go,22565.669181742109,0
2014-07-01,Haskell,5465.5038038052262,0
2014-07-01,Java,143153.00868659411,0
2014-07-01,JavaScript,221625.27438036498,0
2014-07-01,Julia,665.10679768463342,0
2014-07-01,Kotlin,2741.2936845903514,0
2014-07-01,Lua,4721.9301939517354,0
2014-07-01,Objective-C,13384.316786112504,0
2014-07-01,PHP,104934.68463408345,0
2014-07-01,Perl,7834.2161766749769,0
2014-07-01,Python,149969.00897809697,0
2014-07-01,R,2012.0273778416627,0
2014-07-01,Ruby,89020.488054984133,0
2014-07-01,Rust,3837.1951307388454,0
2014-07-01,Scala,14692.453211653186,0
2014-07-01,Swift,3342.3675523258144,0
2014-07-01,TypeScript,8925.1939049606226,0
2014-10-01,C,50919.375597133934,0
2014-10-01,C#,28421.580229114748,0
2014-10-01,C++,67233.431913946435,0
2014-10-01,Dart,1081.3078831885064,0
2014-10-01,Go,27199.135122843152,0
2014-10-01,Haskell,5864.240381145496,0
2014-10-01,Java,166689.56008939398,0
2014-10-01,JavaScript,246926.13740109856,0
2014-10-01,Julia,835.18974185931972,0
2014-10-01,Kotlin,3985.3518364464662,0
2014-10-01,Lua,4574.6551434100929,0
2014-10-01,Objective-C,14168.709005527646,0
2014-10-01,PHP,121412.19722406393,0
2014-10-01,Perl,8293.224517599383,0
2014-10-01,Python,165575.58377550004,0
