quarter,language,push_events,unique_actors
2019-10-01,Julia,1910,106
2019-10-01,Kotlin,23501,818
2019-10-01,Lua,7677,521
2019-10-01,Objective-C,10409,898
2019-10-01,PHP,150220,6419
2019-10-01,Perl,30534,714
2019-10-01,Python,367084,14965
2019-10-01,R,6529,527
2019-10-01,Ruby,109742,4492
2019-10-01,Rust,25575,865
2019-10-01,Scala,29197,1075
2019-10-01,Swift,20190,1404
2019-10-01,TypeScript,156990,3764
2020-01-01,C,102071,4059
2020-01-01,C#,347857,3581
2020-01-01,C++,198135,6915
2020-01-01,Dart,7174,198
2020-01-01,Go,125472,4034
2020-01-01,Haskell,6989,438
2020-01-01,Java,306421,9365
2020-01-01,JavaScript,329462,14517
2020-01-01,Julia,2275,121
2020-01-01,Kotlin,25483,782
2020-01-01,Lua,9315,542
2020-01-01,Objective-C,11862,728
2020-01-01,PHP,152350,6155
2020-01-01,Perl,22748,676
2020-01-01,Python,373494,14494
2020-01-01,R,6935,519
2020-01-01,Ruby,109396,4634
2020-01-01,Rust,28488,839
2020-01-01,Scala,32319,1002
2020-01-01,Swift,19880,1138
2020-01-01,TypeScript,162309,3759
2020-04-01,C,108160,4138
2020-04-01,C#,330235,3473
2020-04-01,C++,219531,6993
2020-04-01,Dart,8725,210
2020-04-01,Go,129463,4035
2020-04-01,Haskell,7677,420
2020-04-01,Java,323748,9332
2020-04-01,JavaScript,347198,14585
2020-04-01,Julia,2308,127
2020-04-01,Kotlin,27123,721
2020-04-01,Lua,10102,519
2020-04-01,Objective-C,11855,788
2020-04-01,PHP,158423,6006
2020-04-01,Perl,24591,678
2020-04-01,Python,393952,14409
2020-04-01,R,7486,518
2020-04-01,Ruby,110199,4335
2020-04-01,Rust,30039,815
2020-04-01,Scala,31068,923
2020-04-01,Swift,22218,1158
2020-04-01,TypeScript,184811,3761
2020-07-01,C,87045,3726
2020-07-01,C#,508721,3145
2020-07-01,C++,184731,6496
2020-07-01,Dart,7782,199
2020-07-01,Go,121538,3811
2020-07-01,Haskell,6525,357
2020-07-01,Java,274784,8709
2020-07-01,JavaScript,288801,13258
2020-07-01,Julia,1821,88
2020-07-01,Kotlin,27693,691
2020-07-01,Lua,8261,479
2020-07-01,Objective-C,9155,712
2020-07-01,PHP,132397,5460
2020-07-01,Perl,19968,608
2020-07-01,Python,341077,12719
2020-07-01,R,5411,421
2020-07-01,Ruby,94593,3830
2020-07-01,Rust,25480,759
2020-07-01,Scala,24867,850
2020-07-01,Swift,18348,966
2020-07-01,TypeScript,174003,3655
2020-10-01,C,91103,3686
2020-10-01,C#,650847,3070
2020-10-01,C++,187073,6250
2020-10-01,Dart,8338,191
2020-10-01,Go,107930,3639
2020-10-01,Haskell,6827,365
2020-10-01,Java,253344,8659
2020-10-01,JavaScript,280687,11756
2020-10-01,Julia,1681,86
2020-10-01,Kotlin,29039,662
2020-10-01,Lua,10371,488
2020-10-01,Objective-C,8990,676
2020-10-01,PHP,147648,5371
2020-10-01,Perl,20723,589
2020-10-01,Python,342610,12512
2020-10-01,R,5266,387
2020-10-01,Ruby,101109,3514
2020-10-01,Rust,26489,748
2020-10-01,Scala,27660,823
2020-10-01,Swift,16807,966
2020-10-01,TypeScript,167827,3380
2021-01-01,C,90679,3554
2021-01-01,C#,851579,2840
2021-01-01,C++,184063,5963
2021-01-01,Dart,8814,209
2021-01-01,Go,107099,3483
2021-01-01,Haskell,5720,351
2021-01-01,Java,237246,7723
2021-01-01,JavaScript,272038,11229
2021-01-01,Julia,2028,95
2021-01-01,Kotlin,26782,662
2021-01-01,Lua,8720,439
2021-01-01,Objective-C,8652,576
2021-01-01,PHP,137470,5134
2021-01-01,Perl,12555,582
2021-01-01,Python,334576,12166
2021-01-01,R,4479,387
2021-01-01,Ruby,97009,3572
2021-01-01,Rust,23155,724
2021-01-01,Scala,23387,789
2021-01-01,Swift,14132,803
2021-01-01,TypeScript,163831,3343
2021-04-01,C,76765,3196
2021-04-01,C#,335217,2628
2021-04-01,C++,168016,5538
