month,language,push_events,unique_actors,events_per_actor,actors_stack,events_per_actor_viz,actor_rank
2021-10-01,C#,1238440.4573242988,3740,331.13381211879647,3740,331.13381211879647,11
2021-10-01,C++,106346.85709498804,9831,10.817501484588346,9831,10.817501484588346,5
2021-10-01,Dart,5792.972277090979,373,15.53075677504284,373,15.53075677504284,20
2021-10-01,Go,66323.7156648267,4645,14.278517904160752,4645,14.278517904160752,9
2021-10-01,Haskell,3728.6301082109767,810,4.603247047174046,810,4.603247047174046,19
2021-10-01,Java,150469.78625989868,10522,14.300492896778056,10522,14.300492896778056,4
2021-10-01,JavaScript,1352143.452342515,26032,51.94158928789625,26032,51.94158928789625,1
2021-10-01,Julia,1063.425827153491,267,3.982868266492476,267,3.982868266492476,21
2021-10-01,Kotlin,17595.3899479504,2143,8.210634600070183,2143,8.210634600070183,14
2021-10-01,Lua,5239.315174393308,2340,2.239023578800559,2340,2.239023578800559,13
2021-10-01,Objective-C,4758.439767295813,2946,1.6152205591635482,2946,1.6152205591635482,12
2021-10-01,PHP,82963.30994012915,6670,12.4382773523432,6670,12.4382773523432,7
2021-10-01,Perl,14307.919537009146,4383,3.2644123972186048,4383,3.2644123972186048,10
2021-10-01,Python,241807.04604256808,22095,10.94397130765187,22095,10.94397130765187,2
2021-10-01,R,2633.16241049994,1616,1.6294321847153097,1616,1.6294321847153097,17
2021-10-01,Ruby,53644.11289720608,9735,5.510437893909202,9735,5.510437893909202,6
2021-10-01,Rust,13992.227486451566,1466,9.544493510539947,1466,9.544493510539947,18
2021-10-01,Scala,15195.855698522855,1646,9.231990096307932,1646,9.231990096307932,16
2021-10-01,Swift,11264.078376175528,1670,6.7449571114823526,1670,6.7449571114823526,15
2021-10-01,TypeScript,119172.85879051324,6258,19.04328200551506,6258,19.04328200551506,8
2022-01-01,C,80707.23644552367,12080,6.681062619662555,12080,6.681062619662555,3
2022-01-01,C#,1350131.0579705727,3947,342.06512743110534,3947,342.06512743110534,11
2022-01-01,C++,133736.36242051516,10351,12.920139350837132,10351,12.920139350837132,6
2022-01-01,Dart,8617.374237642434,414,20.814913617493804,414,20.814913617493804,20
2022-01-01,Go,93682.30845438692,5135,18.243877011565125,5135,18.243877011565125,9
2022-01-01,Haskell,3597.3629243663554,805,4.46877381908864,805,4.46877381908864,19
2022-01-01,Java,189088.32147869747,10974,17.230574218944547,10974,17.230574218944547,4
2022-01-01,JavaScript,1493218.0714756106,27995,53.33874161370282,27995,53.33874161370282,1
2022-01-01,Julia,1696.2474543374935,263,6.449610092537998,263,6.449610092537998,21
2022-01-01,Kotlin,21592.282865908503,2264,9.53722741427054,2264,9.53722741427054,14
2022-01-01,Lua,7500.8516731533955,2469,3.038012018288131,2469,3.038012018288131,13
2022-01-01,Objective-C,5893.236114078807,3111,1.894322119601031,3111,1.894322119601031,12
2022-01-01,PHP,106836.08920258348,7342,14.551360556058768,7342,14.551360556058768,7
2022-01-01,Perl,17702.122393240763,4651,3.806089527680233,4651,3.806089527680233,10
2022-01-01,Python,308716.6214076871,23495,13.139673181855164,23495,13.139673181855164,2
2022-01-01,R,3034.7973593238,1723,1.761344956078816,1723,1.761344956078816,17
2022-01-01,Ruby,63710.70612825677,10738,5.933200421703927,10738,5.933200421703927,5
2022-01-01,Rust,18255.0474477634,1567,11.649679290212765,1567,11.649679290212765,18
2022-01-01,Scala,17822.140749552873,1752,10.172454765726526,1752,10.172454765726526,16
2022-01-01,Swift,12970.11227124898,1796,7.221666075305668,1796,7.221666075305668,15
2022-01-01,TypeScript,145934.89002994145,6806,21.4420937452162,6806,21.4420937452162,8
2022-04-01,C,70304.07607695206,11523,6.101195528677606,11523,6.101195528677606,3
2022-04-01,C#,1270506.3857594072,3899,325.85442055896567,3899,325.85442055896567,11
2022-04-01,C++,120958.11237477358,9795,12.348965020395465,9795,12.348965020395465,6
2022-04-01,Dart,13368.656395150014,425,31.455662106235327,425,31.455662106235327,20
2022-04-01,Go,91629.68181729528,4974,18.42172935611083,4974,18.42172935611083,9
2022-04-01,Haskell,3708.157228221434,776,4.778553129151332,776,4.778553129151332,19
2022-04-01,Java,170243.0498134677,10305,16.520431811107976,10305,16.520431811107976,4
2022-04-01,JavaScript,1396197.1163008593,26346,52.994652558295726,26346,52.994652558295726,1
2022-04-01,Julia,2005.434332799876,251,7.989778218326199,251,7.989778218326199,21
2022-04-01,Kotlin,21888.0392349772,2211,9.899610689722842,2211,9.899610689722842,14
2022-04-01,Lua,8432.464626274681,2425,3.4773050005256416,2425,3.4773050005256416,13
2022-04-01,Objective-C,6053.199084155353,2884,2.098890112397834,2884,2.098890112397834,12
2022-04-01,PHP,87998.87493526617,6713,13.108725597388078,6713,13.108725597388078,7
2022-04-01,Perl,12102.75321705331,4493,2.693690900746341,4493,2.693690900746341,10
2022-04-01,Python,268054.30671220046,22138,12.108334389384789,22138,12.108334389384789,2
2022-04-01,R,2642.6544874940114,1650,1.6016087802994008,1650,1.6016087802994008,16
2022-04-01,Ruby,60862.92062367324,10167,5.986320509852783,10167,5.986320509852783,5
2022-04-01,Rust,20181.92405558845,1544,13.071194336521016,1544,13.071194336521016,18
2022-04-01,Scala,16288.691106464226,1606,10.142397949230528,1606,10.142397949230528,17
2022-04-01,Swift,12968.526026217563,1764,7.351772123706102,1764,7.351772123706102,15
2022-04-01,TypeScript,140783.0319890158,6631,21.23104086699077,6631,21.23104086699077,8
2022-07-01,C,71991.81040209085,11324,6.357454115338295,11324,6.357454115338295,3
2022-07-01,C#,1486036.0496114327,3792,391.8871438848715,3792,391.8871438848715,11
2022-07-01,C++,122538.0994652008,9566,12.809753237006149,9566,12.809753237006149,6
2022-07-01,Dart,11590.58835492805,416,27.86199123780781,416,27.86199123780781,20
2022-07-01,Go,99461.29915111224,4964,20.036522794341707,4964,20.036522794341707,9
2022-07-01,Haskell,3883.671213734885,792,4.903625269867279,792,4.903625269867279,19
2022-07-01,Java,185282.369465436,10094,18.355693428317416,10094,18.355693428317416,4
2022-07-01,JavaScript,1595819.3700442158,25249,63.203270230275095,25249,63.203270230275095,1
2022-07-01,Julia,1856.921678804976,277,6.703688371137098,277,6.703688371137098,21
2022-07-01,Kotlin,21396.606223062023,2207,9.694882747196203,2207,9.694882747196203,14
2022-07-01,Lua,8001.883214725943,2406,3.3258034973923287,2406,3.3258034973923287,13
2022-07-01,Objective-C,5583.664986624696,2875,1.9421443431738077,2875,1.9421443431738077,12
2022-07-01,PHP,81581.96989316717,6424,12.69955944787783,6424,12.69955944787783,8
2022-07-01,Perl,11302.28078471368,4395,2.5716224766128963,4395,2.5716224766128963,10
2022-07-01,Python,451300.8623372275,21652,20.843379934289096,21652,20.843379934289096,2
2022-07-01,R,2604.922490052319,1609,1.6189698508715469,1609,1.6189698508715469,17
2022-07-01,Ruby,60563.52144801773,9790,6.1862636821264285,9790,6.1862636821264285,5
2022-07-01,Rust,24328.326329648706,1582,15.378208805087676,1582,15.378208805087676,18
2022-07-01,Scala,20667.13731358588,1641,12.594233585366169,1641,12.594233585366169,16
2022-07-01,Swift,12232.525866209222,1725,7.091319342729983,1725,7.091319342729983,15
2022-07-01,TypeScript,140898.4398993896,6635,21.235635252357135,6635,21.235635252357135,7
2022-10-01,C,66715.63243467054,11121,5.999067748823896,11121,5.999067748823896,3
2022-10-01,C#,1187691.9236124023,3665,324.0632806582271,3665,324.0632806582271,11
2022-10-01,C++,119474.4097680773,9417,12.687098839128948,9417,12.687098839128948,6
