month,language,push_events,unique_actors,month_total,share,share_pct
2021-10-01,Python,241807.04604256808,22095,3571694.793305264,0.0677009263209745,6.770092632097454
2021-10-01,R,2633.16241049994,1616,3571694.793305264,0.00073723052021,0.0737230520210042
2021-10-01,Ruby,53644.11289720608,9735,3571694.793305264,0.015019232045738,1.501923204573803
2021-10-01,Rust,13992.227486451566,1466,3571694.793305264,0.0039175316750687,0.3917531675068768
2021-10-01,Scala,15195.855698522855,1646,3571694.793305264,0.0042545224544397,0.4254522454439769
2021-10-01,Swift,11264.078376175528,1670,3571694.793305264,0.0031537068613165,0.3153706861316583
2021-10-01,TypeScript,119172.85879051324,6258,3571694.793305264,0.0333659132952483,3.3365913295248304
2022-01-01,C,80707.23644552367,12080,4084443.240504392,0.01975966654284,1.975966654284001
2022-01-01,C#,1350131.0579705727,3947,4084443.240504392,0.3305544913886094,33.055449138860936
2022-01-01,C++,133736.36242051516,10351,4084443.240504392,0.0327428622570355,3.2742862257035528
2022-01-01,Dart,8617.374237642434,414,4084443.240504392,0.0021098038900837,0.2109803890083747
2022-01-01,Go,93682.30845438692,5135,4084443.240504392,0.0229363717251259,2.2936371725125992
2022-01-01,Haskell,3597.3629243663554,805,4084443.240504392,0.0008807474391349,0.0880747439134963
2022-01-01,Java,189088.32147869747,10974,4084443.240504392,0.0462947604715267,4.629476047152678
2022-01-01,JavaScript,1493218.0714756106,27995,4084443.240504392,0.3655866867404948,36.558668674049486
2022-01-01,Julia,1696.2474543374935,263,4084443.240504392,0.0004152946569354,0.0415294656935426
2022-01-01,Kotlin,21592.282865908503,2264,4084443.240504392,0.0052864690716676,0.528646907166766
2022-01-01,Lua,7500.8516731533955,2469,4084443.240504392,0.0018364440956773,0.1836444095677311
2022-01-01,Objective-C,5893.236114078807,3111,4084443.240504392,0.0014428493106813,0.1442849310681336
2022-01-01,PHP,106836.08920258348,7342,4084443.240504392,0.0261568304201456,2.615683042014563
2022-01-01,Perl,17702.122393240763,4651,4084443.240504392,0.0043340355957681,0.4334035595768178
2022-01-01,Python,308716.6214076871,23495,4084443.240504392,0.0755835258882342,7.558352588823425
2022-01-01,R,3034.7973593238,1723,4084443.240504392,0.0007430137183027,0.0743013718302774
2022-01-01,Ruby,63710.70612825677,10738,4084443.240504392,0.0155983820503254,1.5598382050325437
2022-01-01,Rust,18255.0474477634,1567,4084443.240504392,0.004469409016811,0.4469409016811081
2022-01-01,Scala,17822.140749552873,1752,4084443.240504392,0.0043634198592393,0.4363419859239371
2022-01-01,Swift,12970.11227124898,1796,4084443.240504392,0.0031754908827297,0.3175490882729781
2022-01-01,TypeScript,145934.89002994145,6806,4084443.240504392,0.0357294449786306,3.572944497863063
2022-04-01,C,70304.07607695206,11523,3797178.056197307,0.0185148220695655,1.8514822069565584
2022-04-01,C#,1270506.3857594072,3899,3797178.056197307,0.3345922595559711,33.45922595559711
2022-04-01,C++,120958.11237477358,9795,3797178.056197307,0.0318547380672233,3.1854738067223365
2022-04-01,Dart,13368.656395150014,425,3797178.056197307,0.0035206819899665,0.352068198996654
2022-04-01,Go,91629.68181729528,4974,3797178.056197307,0.0241309942439354,2.4130994243935464
2022-04-01,Haskell,3708.157228221434,776,3797178.056197307,0.000976556056456,0.0976556056456034
2022-04-01,Java,170243.0498134677,10305,3797178.056197307,0.0448340971357972,4.483409713579721
2022-04-01,JavaScript,1396197.1163008593,26346,3797178.056197307,0.3676933490180031,36.76933490180031
2022-04-01,Julia,2005.434332799876,251,3797178.056197307,0.0005281380812592,0.0528138081259276
2022-04-01,Kotlin,21888.0392349772,2211,3797178.056197307,0.0057642909842624,0.576429098426241
2022-04-01,Lua,8432.464626274681,2425,3797178.056197307,0.0022207187815467,0.2220718781546787
2022-04-01,Objective-C,6053.199084155353,2884,3797178.056197307,0.0015941309558228,0.1594130955822847
2022-04-01,PHP,87998.87493526617,6713,3797178.056197307,0.0231748086692023,2.317480866920232
2022-04-01,Perl,12102.75321705331,4493,3797178.056197307,0.0031873020011006,0.3187302001100691
2022-04-01,Python,268054.30671220046,22138,3797178.056197307,0.0705930305993193,7.059303059931935
2022-04-01,R,2642.6544874940114,1650,3797178.056197307,0.0006959522172474,0.0695952217247485
2022-04-01,Ruby,60862.92062367324,10167,3797178.056197307,0.0160284610631676,1.6028461063167674
