language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors
PHP,umap,UMAP,7.803476333618164,7.571915626525879,10050888,7.854792842165062,738072
Perl,umap,UMAP,9.405117988586426,2.7770276069641113,1011708,0.8749813347000267,335126
Python,umap,UMAP,6.93794059753418,6.957285404205322,21133487,15.657731484913647,1764495
R,umap,UMAP,11.34878921508789,2.520259380340576,522442,0.2597047993296653,128853
Ruby,umap,UMAP,8.198634147644043,7.421846389770508,6596943,6.965023084072817,935659
Rust,umap,UMAP,9.71635913848877,2.012552499771118,1194876,0.7724694205232586,83974
Scala,umap,UMAP,9.860474586486816,2.6808698177337646,1646220,1.2699100644906043,122243
Swift,umap,UMAP,9.68794059753418,3.4154417514801025,1443391,0.7509469530150464,142016
TypeScript,umap,UMAP,8.61104965209961,5.680168628692627,6146440,4.436318961247738,359881
C,trimap,TriMAP,37.67380905151367,0.46534425020217896,6095516,4.8568619633408225,900690
C#,trimap,TriMAP,34.619625091552734,0.41981515288352966,16574065,8.462098866787409,362839
C++,trimap,TriMAP,39.12273025512695,0.4849230945110321,9930758,7.382190664480297,826958
Dart,trimap,TriMAP,-38.35403060913086,-0.5905149579048157,378103,0.295761517822908,20470
Go,trimap,TriMAP,21.498214721679688,0.23950788378715515,6039562,4.102650354305577,317241
Haskell,trimap,TriMAP,-35.64955520629883,-0.5527211427688599,609654,0.49105256295377825,65509
Java,trimap,TriMAP,40.871829986572266,0.5081590414047241,16106230,11.910417960102818,961606
JavaScript,trimap,TriMAP,42.56040954589844,0.5303877592086792,35828850,21.45866269232887,2643812
Julia,trimap,TriMAP,-38.88114547729492,-0.5978336334228516,176000,0.09167784640831195,18514
Kotlin,trimap,TriMAP,-30.592435836791992,-0.4826049208641052,1082614,0.7790707868331034,104799
Lua,trimap,TriMAP,-37.17610168457031,-0.5740595459938049,765927,0.45717766876588367,157796
Objective-C,trimap,TriMAP,-33.291542053222656,-0.5200745463371277,1163558,0.8704981714123565,345410
PHP,trimap,TriMAP,38.86851119995117,0.481401264667511,10050888,7.854792842165062,738072
Perl,trimap,TriMAP,-33.958457946777344,-0.5292481184005737,1011708,0.8749813347000267,335126
Python,trimap,TriMAP,41.692012786865234,0.5189365148544312,21133487,15.657731484913647,1764495
R,trimap,TriMAP,-38.66464614868164,-0.594800591468811,522442,0.2597047993296653,128853
Ruby,trimap,TriMAP,38.36046600341797,0.474511057138443,6596943,6.965023084072817,935659
Rust,trimap,TriMAP,-31.65546226501465,-0.49732139706611633,1194876,0.7724694205232586,83974
Scala,trimap,TriMAP,-24.372488021850586,-0.3963627517223358,1646220,1.2699100644906043,122243
Swift,trimap,TriMAP,-32.477806091308594,-0.5087616443634033,1443391,0.7509469530150464,142016
TypeScript,trimap,TriMAP,20.358850479125977,0.22367647290229797,6146440,4.436318961247738,359881
C,pacmap,PaCMAP,13.285567283630371,-0.5430974364280701,6095516,4.8568619633408225,900690
C#,pacmap,PaCMAP,13.388446807861328,-1.4588032960891724,16574065,8.462098866787409,362839
C++,pacmap,PaCMAP,13.220342636108398,0.02732834406197071,9930758,7.382190664480297,826958
Dart,pacmap,PaCMAP,-13.004242897033691,0.17346139252185822,378103,0.295761517822908,20470
Go,pacmap,PaCMAP,13.334181785583496,-0.976685106754303,6039562,4.102650354305577,317241
Haskell,pacmap,PaCMAP,-13.002506256103516,0.173352912068367,609654,0.49105256295377825,65509
Java,pacmap,PaCMAP,13.153790473937988,0.6146732568740845,16106230,11.910417960102818,961606
JavaScript,pacmap,PaCMAP,13.073444366455078,1.3123083114624023,35828850,21.45866269232887,2643812
Julia,pacmap,PaCMAP,-13.21458911895752,0.17829903960227966,176000,0.09167784640831195,18514
Kotlin,pacmap,PaCMAP,-10.685843467712402,0.11984176188707352,1082614,0.7790707868331034,104799
Lua,pacmap,PaCMAP,-12.424712181091309,0.15999309718608856,765927,0.45717766876588367,157796
Objective-C,pacmap,PaCMAP,-11.99130630493164,0.14986039698123932,1163558,0.8704981714123565,345410
PHP,pacmap,PaCMAP,13.220457077026367,0.027329109609127045,10050888,7.854792842165062,738072
Perl,pacmap,PaCMAP,-10.72772216796875,0.12074611335992813,1011708,0.8749813347000267,335126
Python,pacmap,PaCMAP,13.121441841125488,0.8922470808029175,21133487,15.657731484913647,1764495
R,pacmap,PaCMAP,-12.882312774658203,0.1705809384584427,522442,0.2597047993296653,128853
Ruby,pacmap,PaCMAP,13.205146789550781,0.16020084917545319,6596943,6.965023084072817,935659
Rust,pacmap,PaCMAP,-10.624032974243164,0.11839418113231659,1194876,0.7724694205232586,83974
Scala,pacmap,PaCMAP,-10.694493293762207,0.11996787041425705,1646220,1.2699100644906043,122243
Swift,pacmap,PaCMAP,-11.249734878540039,0.13282795250415802,1443391,0.7509469530150464,142016
TypeScript,pacmap,PaCMAP,13.37653923034668,-1.3521103858947754,6146440,4.436318961247738,359881
C,opentsne,OpenTSNE (t-SNE / FIt-SNE class),11.906174300297977,1.2082566086748807,6095516,4.8568619633408225,900690
C#,opentsne,OpenTSNE (t-SNE / FIt-SNE class),10.379096738064563,-2.1417057062031533,16574065,8.462098866787409,362839
C++,opentsne,OpenTSNE (t-SNE / FIt-SNE class),13.308787902420638,-0.27729338990444,9930758,7.382190664480297,826958
Dart,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-14.953969002116116,-1.1709349420539419,378103,0.295761517822908,20470
Go,opentsne,OpenTSNE (t-SNE / FIt-SNE class),8.641049199563076,0.02424651580213488,6039562,4.102650354305577,317241
Haskell,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-12.76732285914314,2.4821346180353254,609654,0.49105256295377825,65509
Java,opentsne,OpenTSNE (t-SNE / FIt-SNE class),15.604478899860831,-0.7548480809134044,16106230,11.910417960102818,961606
JavaScript,opentsne,OpenTSNE (t-SNE / FIt-SNE class),17.605573591049435,-2.1548873721057817,35828850,21.45866269232887,2643812
Julia,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-16.450733011469378,0.21482179690074538,176000,0.09167784640831195,18514
Kotlin,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-8.951193583051111,-2.8091992379296777,1082614,0.7790707868331034,104799
Lua,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-13.122531260050494,0.6325804483134253,765927,0.45717766876588367,157796
Objective-C,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-10.851453792167266,3.2666372434520343,1163558,0.8704981714123565,345410
PHP,opentsne,OpenTSNE (t-SNE / FIt-SNE class),14.447122034984025,1.087018883988422,10050888,7.854792842165062,738072
Perl,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-9.331821403253873,1.702725368067278,1011708,0.8749813347000267,335126
Python,opentsne,OpenTSNE (t-SNE / FIt-SNE class),17.29508565112753,-0.3518048364498827,21133487,15.657731484913647,1764495
R,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-14.84537230725406,0.9113889483660333,522442,0.2597047993296653,128853
Ruby,opentsne,OpenTSNE (t-SNE / FIt-SNE class),13.19413090585373,2.4060888565057312,6596943,6.965023084072817,935659
Rust,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-9.87464003439679,-1.631016667190706,1194876,0.7724694205232586,83974
Scala,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-7.893924435449204,0.8286271423282351,1646220,1.2699100644906043,122243
Swift,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-11.187675445313108,-2.5955241219112843,1443391,0.7509469530150464,142016
TypeScript,opentsne,OpenTSNE (t-SNE / FIt-SNE class),7.849137910442734,-0.8773120757719721,6146440,4.436318961247738,359881
