language,month,share_pct,feature_value,vector_length
C,2021-07-01,2.7496550765488426,0.1799653168032793,62
C,2021-10-01,1.814594585714549,0.06585986481559516,62
C,2022-01-01,1.975966654284001,0.08779221921971164,62
C,2022-04-01,1.8514822069565584,0.04460959001026313,62
C,2022-07-01,1.6291712138371823,-0.005834101689186523,62
C,2022-10-01,1.7308882083528907,-0.007825001708818212,62
C,2023-01-01,2.012414527705503,0.061344504494348466,62
C,2023-04-01,4.73525047516192,0.44926500058855035,62
C,2023-07-01,5.157631761668905,0.524410318130732,62
C,2023-10-01,4.915170347321778,0.4763846572872273,62
C,2024-01-01,5.094100639877929,0.5113438470091197,62
C,2024-04-01,4.729395116950641,0.43980811768159556,62
C,2024-07-01,4.613540359001232,0.4085641006593081,62
C,2024-10-01,5.005580345154234,0.4883847740005855,62
C,2025-01-01,5.044888888743932,0.48704477214784286,62
C,2025-04-01,4.845825004687852,0.45519451061443433,62
C,2025-07-01,4.881605199404867,0.4634811111374546,62
C,2025-10-01,4.783952115004059,0.4515364917257109,62
C,2026-01-01,5.003732119392882,0.49626671826042373,62
C,2026-04-01,5.256311947608496,0.5391145783276876,62
C#,2011-01-01,2.1729778255158783,-0.0056189739339376306,62
C#,2011-04-01,2.277201165554763,0.015337879047820356,62
C#,2011-07-01,2.548746456976857,0.08018629056835318,62
C#,2011-10-01,2.4313016255041764,0.05027670820244881,62
C#,2012-01-01,2.195242796603287,-0.010128451801724003,62
C#,2012-04-01,1.759912531293094,-0.08247991047841703,62
C#,2012-07-01,1.828471489035708,-0.05981765009073075,62
C#,2012-10-01,1.4936934048340602,-0.18162540064260385,62
C#,2013-01-01,1.9948797654328656,-0.027443713034425363,62
C#,2013-04-01,2.075616376277817,-0.005979020590708019,62
C#,2013-07-01,2.0851904029900936,-0.0121780711285697,62
C#,2013-10-01,2.205388540582268,0.015052303495897283,62
C#,2014-01-01,2.0876676376012884,-0.02689676589874843,62
C#,2014-04-01,2.352581844938709,0.025511732562666735,62
C#,2014-07-01,2.481085470302994,0.041835558107042085,62
C#,2014-10-01,2.710797004769774,0.09776525202201528,62
C#,2015-01-01,4.02913712063789,0.36492569283988363,62
C#,2015-04-01,4.016137806891602,0.35788015689930325,62
C#,2015-07-01,4.075182462052218,0.3691325041224236,62
C#,2015-10-01,5.102318314501988,0.5642454656561268,62
C#,2016-01-01,7.236116463082712,0.8779870559737168,62
C#,2016-04-01,5.922777579488623,0.6951889383926241,62
C#,2016-07-01,5.796546994281889,0.6678376590199233,62
C#,2016-10-01,6.008637307479458,0.7016680506158818,62
C#,2017-01-01,6.279020840143726,0.746722357899865,62
C#,2017-04-01,7.894445259271589,0.9683036986480638,62
C#,2017-07-01,8.253732536388492,1.0165872803128864,62
C#,2017-10-01,7.854915561252376,0.9722878191579294,62
C#,2018-01-01,8.42534364704218,1.040301086393405,62
C#,2018-04-01,7.77239082507333,0.9335407418288397,62
C#,2018-07-01,7.67341284624017,0.9097891682293368,62
C#,2018-10-01,9.545287007044124,1.1178059687011994,62
C#,2019-01-01,10.382300613520773,1.1918771247617788,62
C#,2019-04-01,11.792997411792822,1.3165329866071585,62
C#,2019-07-01,11.96714426877941,1.3271366576162906,62
C#,2019-10-01,11.8205331181249,1.3145746255505566,62
C#,2020-01-01,11.7906530668197,1.3144513112006193,62
C#,2020-04-01,8.84431631702194,1.0387672807350665,62
C#,2020-07-01,11.769265902492895,1.3213063794646418,62
C#,2020-10-01,13.91074032008718,1.490274639222223,62
C#,2021-01-01,16.903412872707857,1.6838542168147383,62
C#,2021-04-01,9.621232114107269,1.1180670902232641,62
C#,2021-07-01,24.46485118487461,2.073872322446106,62
C#,2021-10-01,34.6737481501951,2.5106958071873433,62
C#,2022-01-01,33.055449138860936,2.441473529449779,62
C#,2022-04-01,33.45922595559711,2.4716162005651507,62
C#,2022-07-01,33.62892447390038,2.4573972517794904,62
C#,2022-10-01,30.81379686761897,2.3337100563985755,62
C#,2023-01-01,31.36725389974211,2.372772133417439,62
